Fraction,N_pos,Correct,Total,Acc
0.001,4000,4040,8000,0.48732365609995426
0.002,4000,4000,8000,0.4823223304684943
0.005,4000,4060,8000,0.4898244220757455
0.01,4000,4322,8000,0.5226297026182872
0.02,4000,4965,8000,0.6034694832638506
0.05,4000,5081,8000,0.6181055054119919
0.1,4000,6231,8000,0.7642023752188363
0.2,4000,6983,8000,0.8610976788711661
0.3,4000,7406,8000,0.9164806326214927
0.4,4000,7504,8000,0.9294739512458929
0.5,4000,7547,8000,0.9352035092107838
0.6,4000,7595,8000,0.94162402349907
0.9,4000,7626,8000,0.945786385133531
1.0,4000,7615,8000,0.9443078849377735
