Fraction,N_pos,Correct,Total,Acc
0.001,4000,4000,8000,0.48939339828226086
0.002,4000,4000,8000,0.48939339828226086
0.005,4000,4485,8000,0.5500966537751742
0.01,4000,4064,8000,0.49739475601406347
0.02,4000,4000,8000,0.48939339828226086
0.05,4000,4000,8000,0.48939339828226086
0.1,4000,4046,8000,0.4951440996669596
0.2,4000,6826,8000,0.8457435696890374
0.3,4000,7505,8000,0.9330143259770605
0.4,4000,7509,8000,0.9335337008615041
0.5,4000,7583,8000,0.9431597488965334
0.6,4000,7613,8000,0.9470736293418746
0.9,4000,7598,8000,0.945115755522733
1.0,4000,7615,8000,0.9473347309718463
