Fraction,N_pos,Correct,Total,Acc
0.001,4000,4269,8000,0.5159873499516052
0.002,4000,4000,8000,0.4823223304684943
0.005,4000,4000,8000,0.4823223304684943
0.01,4000,4000,8000,0.4823223304684943
0.02,4000,4000,8000,0.4823223304684943
0.05,4000,4150,8000,0.5010847653259681
0.1,4000,5034,8000,0.6121731729524021
0.2,4000,6737,8000,0.8292336034321005
0.3,4000,7326,8000,0.905929617019965
0.4,4000,7549,8000,0.9354705245805901
0.5,4000,7539,8000,0.9341360407684607
0.6,4000,7589,8000,0.9408199047600222
0.9,4000,7607,8000,0.9432337069314055
1.0,4000,7615,8000,0.9443078849377735
