Fraction,N_pos,Correct,Total,Acc
0.001,4000,4131,8000,0.5093077313647666
0.002,4000,4017,8000,0.49505399604878947
0.005,4000,4176,8000,0.5149357802982093
0.01,4000,5127,8000,0.6340904312242271
0.02,4000,6584,8000,0.8176023894170455
0.05,4000,7084,8000,0.8809968955405373
0.1,4000,7278,8000,0.9056977182353642
0.2,4000,7444,8000,0.9269036198754935
0.3,4000,7461,8000,0.9290799863771495
0.4,4000,7493,8000,0.9331794635291126
0.5,4000,7549,8000,0.9403632361130618
0.6,4000,7580,8000,0.9443458360854199
0.9,4000,7608,8000,0.9479472467458437
1.0,4000,7615,8000,0.9488481539937729
