Fraction,N_pos,Correct,Total,Acc
0.001,4000,4425,8000,0.5460939609877656
0.002,4000,4046,8000,0.49867939977798315
0.005,4000,4351,8000,0.5368312086286706
0.01,4000,4953,8000,0.6122575516472482
0.02,4000,5359,8000,0.6632245491235313
0.05,4000,5677,8000,0.7032053838217157
0.1,4000,6563,8000,0.814946190565785
0.2,4000,7221,8000,0.898432313450294
0.3,4000,7392,8000,0.9202526558816806
0.4,4000,7517,8000,0.9362567248990656
0.5,4000,7563,8000,0.9421612480720465
0.6,4000,7574,8000,0.943574643720771
0.9,4000,7605,8000,0.9475611100093237
1.0,4000,7615,8000,0.9488481539937729
